Paris: 2.3521334; 48.8565056!
Wissembourg: 7.9490308; 49.0383877!
Lyon: 4.8323239; 45.7575958!
St Anne: -2.2036184; 49.7147885!
Cherbourg-Octeville: -1.6384497; 49.6292405!
Metz: 6.1763552; 49.1196964!
Tours: 0.6899713; 47.3903853!
Clermont-Ferrand: 3.0819427; 45.7774551!
Reims: 4.031926; 49.2577886!
Dijon: 5.0414701; 47.3215806!
Orléans: 1.9086066; 47.9027336!
Amiens: 2.2956951; 49.8941708!
Toulouse: 1.4442469; 43.6044622!
Limoges: 1.2644847; 45.8354243!
Rennes: -1.680009; 48.1113589!
Saint-Étienne: 4.3873058; 45.4401467!
Nantes: -1.5545147; 47.2185155!
Besançon: 6.0243246; 47.237953!
Le Mans: 0.1995271; 48.0077367!
Strasbourg: 7.7507127; 48.584614!
Mulhouse: 7.3399355; 47.7494188!
Angers: -0.5518917; 47.4712031!
Lille: 3.0706414; 50.6305089!
Toulon: 5.9304919; 43.1257311!
Nîmes: 4.3600687; 43.8374249!
Rouen: 1.0939658; 49.4404591!
Grenoble: 5.7364904; 45.1864181!
Boulogne-Billancourt: 2.2399217; 48.8357506!
Aix-en-Provence: 5.4474738; 43.5298424!
Hondarribia: -1.7914777; 43.3624372!
Saint-Brieuc: -2.7602707; 48.5141594!
Bois-d'Arcy: 2.023607; 48.799856!
Châteaubriant: -1.3757282; 47.7194057!
Saverne: 7.3625104; 48.7420277!
Gonesse: 2.4500537; 48.9863555!
Douarnenez: -4.3311243; 48.0944459!
Montluçon: 2.6067229; 46.3399276!
Arcueil: 2.3320692; 48.8021118!
Moissy-Cramayel: 2.5957717; 48.6270443!
Foix: 1.6096025; 42.9660039!
Montmagny: 2.343561; 48.9728571!
Nœux-les-Mines: 2.6621899; 50.4754!
Saint-André-lez-Lille: 3.04468; 50.6608!
Blanquefort: -0.609082; 44.9238!
Le Mée-sur-Seine: 2.6382182; 48.5403535!
Dax: -1.0533076; 43.7080596!
Échirolles: 5.71927; 45.1437!
Villepinte: 2.5347541; 48.9636566!
Hendaye: -1.7616499; 43.3641518!
Sablé-sur-Sarthe: -0.3352048; 47.8400712!
Tournefeuille: 1.3464462; 43.5834786!
Le Chesnay: 2.1319603; 48.8278506!
Pierrelatte: 4.6976609; 44.3778474!
Armentières: 2.88251; 50.6911!
Coudekerque-Branche: 2.3971139; 51.0175575!
Chatou: 2.15122; 48.8987!
Joué-lès-Tours: 0.656224; 47.336!
Gentilly: 2.34371; 48.8127!
Creil: 2.4737043; 49.2635045!
Yutz: 6.1886959; 49.3592369!
Vitry-le-François: 4.5851622; 48.7262225!
Lunéville: 6.5013779; 48.5894638!
Millau: 3.0777594; 44.1006693!
Torcy: 2.65265; 48.8515!
Béthune: 2.64781; 50.5199!
Palaiseau: 2.2468567; 48.7170283!
Antony: 2.2959423; 48.753554!
